ano,parto,regiao,uf,grupo,criticidade,records
2011,CESARIANO,Centro-Oeste,GO,5,2,117
2012,CESARIANO,Nordeste,CE,5,2,117
2014,NORMAL,Norte,RR,1,0,117
2015,CESARIANO,Norte,RR,2,0,117
2015,CESARIANO,Sudeste,ES,5,2,117
2016,CESARIANO,Nordeste,BA,5,2,117
2018,CESARIANO,Sul,SC,0,1,117
2019,NORMAL,Nordeste,AL,3,2,117
2011,CESARIANO,Sudeste,RJ,4,1,116
2015,CESARIANO,Sul,PR,2,2,116
2015,NORMAL,Sul,PR,2,2,116
2018,NORMAL,Nordeste,PB,3,2,116
2013,CESARIANO,Norte,RO,1,2,115
2013,NORMAL,Nordeste,SE,5,2,115
2017,NORMAL,Centro-Oeste,MS,2,1,115
2017,NORMAL,Nordeste,PB,3,2,115
2011,CESARIANO,Nordeste,AL,3,2,114
2013,CESARIANO,Sudeste,ES,3,2,114
2017,NORMAL,Nordeste,MA,2,2,114
2010,CESARIANO,Centro-Oeste,MT,1,1,113
2013,NORMAL,Centro-Oeste,GO,1,1,113
2016,CESARIANO,Sudeste,ES,5,2,113
2017,CESARIANO,Nordeste,AL,3,2,113
2019,CESARIANO,Nordeste,PE,5,2,113
2019,NORMAL,Nordeste,MA,2,2,113
2010,CESARIANO,Norte,TO,4,1,112
2011,CESARIANO,Nordeste,BA,5,2,112
2012,CESARIANO,Nordeste,AL,3,2,112
2012,CESARIANO,Nordeste,MA,2,1,112
2016,NORMAL,Sudeste,RJ,4,2,112
2017,CESARIANO,Nordeste,PB,3,2,112
2010,CESARIANO,Centro-Oeste,MS,3,1,111
2012,CESARIANO,Centro-Oeste,GO,5,2,111
2012,CESARIANO,Norte,TO,3,2,111
2012,NORMAL,Nordeste,SE,5,2,111
2014,CESARIANO,Nordeste,RN,3,2,111
2017,NORMAL,Nordeste,SE,5,2,111
2019,CESARIANO,Norte,RR,2,1,111
2019,NORMAL,Nordeste,PB,3,2,111
2010,CESARIANO,Centro-Oeste,GO,5,2,110
2010,CESARIANO,Sudeste,MG,4,2,110
2014,CESARIANO,Sul,PR,2,2,110
2014,NORMAL,Nordeste,PB,3,2,110
2015,CESARIANO,Centro-Oeste,MS,2,1,110
2019,NORMAL,Nordeste,CE,2,2,110
2010,NORMAL,Nordeste,BA,2,2,109
2014,CESARIANO,Norte,RO,1,2,109
2014,NORMAL,Sudeste,MG,4,2,109
2015,NORMAL,Nordeste,SE,5,2,109
2015,NORMAL,Norte,RR,1,0,109
2018,NORMAL,Nordeste,AL,3,2,109
2017,CESARIANO,Norte,RR,1,1,108
2018,NORMAL,Sudeste,ES,5,2,108
2016,CESARIANO,Sudeste,RJ,5,2,107
2016,NORMAL,Nordeste,CE,2,2,107
2017,NORMAL,Sudeste,ES,5,2,107
2019,CESARIANO,Nordeste,RN,3,2,107
2011,CESARIANO,Centro-Oeste,MS,3,2,106
2011,NORMAL,Norte,AP,1,2,106
2012,CESARIANO,Norte,AC,2,1,106
2016,CESARIANO,Sudeste,SP,2,2,106
2017,NORMAL,Nordeste,AL,3,2,106
2012,NORMAL,Sudeste,MG,4,2,105
2016,CESARIANO,Sudeste,MG,4,2,105
2017,NORMAL,Nordeste,CE,5,2,105
2019,CESARIANO,Nordeste,MA,4,2,105
2019,CESARIANO,Sudeste,ES,5,2,105
2013,NORMAL,Centro-Oeste,MS,3,2,104
2013,NORMAL,Nordeste,CE,2,2,104
2013,NORMAL,Sudeste,ES,3,2,104
2014,NORMAL,Norte,RO,2,2,104
2016,CESARIANO,Centro-Oeste,GO,1,1,104
2016,NORMAL,Nordeste,SE,5,2,104
2010,CESARIANO,Centro-Oeste,MS,2,1,103
2011,CESARIANO,Centro-Oeste,GO,2,1,103
2011,CESARIANO,Norte,RR,2,0,103
2012,CESARIANO,Nordeste,BA,5,2,103
2013,CESARIANO,Sudeste,MG,4,2,103
2014,NORMAL,Centro-Oeste,MS,3,2,103
2015,CESARIANO,Norte,AC,2,1,103
2017,CESARIANO,Nordeste,CE,3,2,103
2017,CESARIANO,Norte,PA,2,2,103
2018,CESARIANO,Norte,RR,1,1,103
2012,CESARIANO,Sudeste,MG,4,2,102
2014,CESARIANO,Centro-Oeste,GO,4,1,102
2018,CESARIANO,Centro-Oeste,MT,1,2,102
2018,NORMAL,Nordeste,BA,2,2,102
2019,NORMAL,Centro-Oeste,MS,2,1,102
2012,CESARIANO,Norte,AM,4,1,101
2017,CESARIANO,Nordeste,BA,5,2,101
2017,CESARIANO,Nordeste,RN,3,2,101
2019,CESARIANO,Sudeste,MG,4,2,101
2012,CESARIANO,Sudeste,RJ,4,1,100
2012,NORMAL,Centro-Oeste,GO,1,1,100
2018,CESARIANO,Sudeste,MG,4,2,100
2010,NORMAL,Nordeste,CE,5,2,99
2010,NORMAL,Norte,PA,2,2,99
2011,CESARIANO,Sudeste,MG,4,2,99
2016,CESARIANO,Norte,RO,1,2,99
2019,NORMAL,Centro-Oeste,GO,4,2,99
2019,NORMAL,Nordeste,SE,5,2,99
2019,NORMAL,Sudeste,ES,5,2,99
2011,NORMAL,Nordeste,CE,5,2,98
2012,CESARIANO,Sul,SC,0,2,98
2013,CESARIANO,Centro-Oeste,MS,2,1,98
2013,CESARIANO,Sul,PR,2,2,98
2014,CESARIANO,Sudeste,RJ,4,1,98
2019,NORMAL,Sudeste,MG,4,2,98
2010,CESARIANO,Norte,RO,3,1,96
2011,CESARIANO,Norte,AM,4,1,96
2012,NORMAL,Nordeste,BA,2,2,96
2018,NORMAL,Nordeste,SE,5,2,96
2011,NORMAL,Norte,RO,2,2,95
2012,CESARIANO,Norte,RR,2,0,95
2013,CESARIANO,Sul,SC,0,1,95
2013,NORMAL,Sudeste,ES,0,2,95
2015,CESARIANO,Centro-Oeste,GO,1,1,95
2017,NORMAL,Centro-Oeste,GO,4,2,95
2017,NORMAL,Nordeste,BA,2,2,95
2018,NORMAL,Nordeste,MA,2,2,95
2015,CESARIANO,Norte,PA,2,2,94
2015,CESARIANO,Sudeste,MG,4,2,94
2017,CESARIANO,Norte,AM,4,1,94
2017,CESARIANO,Norte,RR,2,1,94
2010,CESARIANO,Centro-Oeste,MS,3,2,93
2010,NORMAL,Norte,RO,2,2,93
2014,CESARIANO,Centro-Oeste,MT,1,2,93
2012,NORMAL,Norte,PA,2,2,92
2013,CESARIANO,Nordeste,BA,5,2,92
2013,NORMAL,Norte,PA,2,2,92
