ano,parto,regiao,uf,grupo,criticidade,records
2016,NORMAL,Norte,RO,2,2,48
2017,NORMAL,Sul,RS,4,2,48
2018,CESARIANO,Norte,RO,2,2,48
2018,NORMAL,Norte,AC,1,2,48
2012,CESARIANO,Centro-Oeste,GO,4,2,47
2012,CESARIANO,Norte,AP,1,2,47
2015,NORMAL,Norte,RO,3,2,47
2018,NORMAL,Norte,PA,4,2,47
2019,CESARIANO,Norte,AC,1,2,47
2010,CESARIANO,Sul,PR,5,2,46
2010,NORMAL,Centro-Oeste,GO,4,1,46
2011,CESARIANO,Sudeste,ES,3,2,46
2012,CESARIANO,Nordeste,MA,2,2,46
2012,NORMAL,Norte,RO,1,2,46
2013,CESARIANO,Centro-Oeste,MT,1,2,46
2013,CESARIANO,Norte,RR,2,1,46
2013,NORMAL,Centro-Oeste,MT,1,2,46
2014,CESARIANO,Nordeste,MA,2,2,46
2014,CESARIANO,Sul,RS,4,2,46
2014,NORMAL,Sudeste,RJ,4,2,46
2017,NORMAL,Centro-Oeste,GO,1,2,46
2010,CESARIANO,Sudeste,RJ,3,2,45
2012,CESARIANO,Sudeste,RJ,3,2,45
2013,NORMAL,Sudeste,RJ,4,2,45
2015,CESARIANO,Nordeste,MA,2,2,45
2016,NORMAL,Sul,PR,2,2,45
2018,NORMAL,Norte,RO,2,2,45
2010,CESARIANO,Centro-Oeste,GO,1,2,44
2011,CESARIANO,Norte,RO,2,2,44
2013,CESARIANO,Sudeste,RJ,3,2,44
2015,CESARIANO,Norte,AP,1,2,44
2017,CESARIANO,Sul,SC,0,2,44
2017,NORMAL,Norte,AM,4,2,44
2019,NORMAL,Nordeste,RN,5,2,44
2011,CESARIANO,Centro-Oeste,GO,1,2,43
2013,CESARIANO,Centro-Oeste,GO,4,2,43
2013,CESARIANO,Norte,AP,1,2,43
2016,CESARIANO,Norte,AP,1,2,43
2018,NORMAL,Sul,RS,4,2,43
2019,NORMAL,Sul,RS,4,2,43
2010,CESARIANO,Nordeste,SE,5,2,42
2010,NORMAL,Centro-Oeste,GO,1,2,42
2012,CESARIANO,Centro-Oeste,GO,1,1,42
2016,CESARIANO,Norte,RO,2,2,42
2010,CESARIANO,Norte,RO,2,2,41
2010,NORMAL,Nordeste,RN,3,2,41
2011,CESARIANO,Norte,RO,1,2,41
2011,NORMAL,Nordeste,RN,3,2,41
2014,CESARIANO,Centro-Oeste,GO,4,2,41
2015,CESARIANO,Nordeste,RN,5,2,41
2016,CESARIANO,Centro-Oeste,GO,1,2,41
2017,NORMAL,Centro-Oeste,GO,4,1,41
2018,CESARIANO,Centro-Oeste,GO,1,2,41
2018,NORMAL,Sul,PR,1,1,41
2011,CESARIANO,Nordeste,RN,5,2,40
2012,CESARIANO,Norte,PA,4,2,40
2016,CESARIANO,Norte,RO,3,2,40
2016,CESARIANO,Sudeste,RJ,4,2,40
2017,CESARIANO,Norte,RO,3,2,40
2017,NORMAL,Norte,RO,3,2,40
2018,CESARIANO,Norte,AM,4,2,40
2019,NORMAL,Norte,AC,1,2,40
2012,NORMAL,Nordeste,MA,4,2,39
2013,CESARIANO,Nordeste,CE,3,2,39
2013,CESARIANO,Nordeste,SE,5,2,39
2018,NORMAL,Norte,RO,3,2,39
2010,CESARIANO,Norte,AC,1,2,38
2010,CESARIANO,Norte,RO,1,2,38
2011,CESARIANO,Nordeste,MA,2,2,38
2012,NORMAL,Centro-Oeste,MT,1,2,38
2013,NORMAL,Sul,RS,4,2,38
2015,CESARIANO,Centro-Oeste,GO,4,2,38
2016,CESARIANO,Sul,SC,0,2,38
2019,CESARIANO,Nordeste,SE,5,2,38
2019,CESARIANO,Sul,PR,2,2,38
2012,NORMAL,Sul,PR,1,1,37
2013,CESARIANO,Nordeste,MA,2,2,37
2015,CESARIANO,Nordeste,SE,5,2,37
2017,CESARIANO,Norte,PA,4,2,37
2011,CESARIANO,Nordeste,SE,5,2,36
2012,NORMAL,Centro-Oeste,GO,4,2,36
2015,CESARIANO,Centro-Oeste,GO,4,1,36
2015,NORMAL,Norte,RO,2,2,36
2016,CESARIANO,Nordeste,MA,2,1,36
2016,NORMAL,Norte,RO,1,2,36
2018,CESARIANO,Centro-Oeste,MT,4,2,36
2012,CESARIANO,Norte,RO,3,2,35
2014,CESARIANO,Norte,AC,1,2,35
2015,CESARIANO,Nordeste,MA,2,1,35
2015,NORMAL,Sul,RS,4,2,35
2016,CESARIANO,Sul,PR,2,2,35
2017,CESARIANO,Centro-Oeste,GO,1,2,35
2018,NORMAL,Nordeste,RN,5,2,35
2010,CESARIANO,Sul,PR,2,2,34
2010,NORMAL,Centro-Oeste,MT,1,2,34
2010,NORMAL,Sudeste,RJ,4,2,34
2011,NORMAL,Norte,RO,3,2,34
2012,CESARIANO,Nordeste,PE,3,1,34
2012,NORMAL,Norte,RO,3,2,34
2014,CESARIANO,Nordeste,RN,5,2,34
2014,NORMAL,Centro-Oeste,GO,4,2,34
2014,NORMAL,Sul,RS,4,2,34
2015,NORMAL,Nordeste,CE,3,2,34
2018,NORMAL,Centro-Oeste,GO,1,2,34
2010,NORMAL,Norte,AM,4,2,33
2011,NORMAL,Sudeste,RJ,4,2,33
2012,CESARIANO,Sul,PR,2,2,33
2013,CESARIANO,Nordeste,RN,5,2,33
2015,CESARIANO,Norte,RO,2,2,33
2015,NORMAL,Norte,RO,1,2,33
2016,NORMAL,Nordeste,RN,5,2,33
2018,CESARIANO,Norte,AC,1,2,33
2018,CESARIANO,Norte,PA,4,2,33
2010,NORMAL,Nordeste,MA,4,2,32
2014,CESARIANO,Nordeste,PE,3,1,32
2016,CESARIANO,Norte,PA,4,2,32
2010,CESARIANO,Norte,PA,4,2,31
2010,NORMAL,Sul,RS,4,2,31
2011,NORMAL,Centro-Oeste,GO,4,2,31
2011,NORMAL,Nordeste,MA,4,2,31
2012,CESARIANO,Norte,AC,1,2,31
2012,NORMAL,Sul,RS,4,2,31
2014,NORMAL,Nordeste,MA,4,2,31
2015,CESARIANO,Norte,RR,2,1,31
2016,CESARIANO,Nordeste,SE,5,2,31
2016,CESARIANO,Norte,RR,1,0,31
2018,NORMAL,Centro-Oeste,MT,4,2,31
2019,CESARIANO,Centro-Oeste,MT,4,2,31
2019,CESARIANO,Sul,RS,4,2,31
2010,CESARIANO,Sudeste,ES,3,2,30
2010,CESARIANO,Sul,PR,1,1,30
2015,CESARIANO,Norte,RO,3,2,30
2015,CESARIANO,Sul,RS,4,2,30
2016,CESARIANO,Centro-Oeste,GO,4,1,30
2019,NORMAL,Centro-Oeste,MT,4,2,30
2011,CESARIANO,Sul,PR,1,1,29
2011,CESARIANO,Sul,PR,2,2,29
2012,NORMAL,Sudeste,RJ,4,2,29
2013,NORMAL,Nordeste,MA,4,2,29
2015,NORMAL,Norte,PA,4,2,29
2019,CESARIANO,Norte,AC,2,2,29
2011,NORMAL,Norte,AC,2,2,28
2012,CESARIANO,Centro-Oeste,MT,1,2,28
2012,CESARIANO,Nordeste,MA,4,2,28
2012,NORMAL,Norte,AP,1,1,28
2013,NORMAL,Nordeste,RN,3,2,28
2014,NORMAL,Sul,PR,1,1,28
2015,NORMAL,Sul,PR,1,1,28
2016,CESARIANO,Norte,AM,4,2,28
2019,CESARIANO,Sul,SC,0,2,28
2010,NORMAL,Sul,PR,1,2,27
2011,NORMAL,Norte,AM,4,2,27
2012,CESARIANO,Sul,RS,4,2,27
2014,NORMAL,Norte,AM,4,2,27
2016,NORMAL,Sul,PR,1,1,27
2017,NORMAL,Sul,PR,1,1,27
2019,NORMAL,Norte,AC,2,2,27
2011,CESARIANO,Norte,AP,1,2,26
2011,NORMAL,Centro-Oeste,GO,1,2,26
2015,CESARIANO,Norte,RR,1,1,26
2015,NORMAL,Centro-Oeste,GO,4,1,26
2015,NORMAL,Norte,AC,2,2,26
2018,CESARIANO,Sul,SC,0,2,26
2019,NORMAL,Norte,AP,2,2,26
2019,NORMAL,Sul,PR,1,1,26
2010,CESARIANO,Nordeste,CE,3,2,25
2010,NORMAL,Norte,PA,4,2,25
2011,CESARIANO,Norte,RR,2,1,25
2014,CESARIANO,Nordeste,MA,2,1,25
2015,NORMAL,Norte,AP,1,1,25
2016,NORMAL,Norte,RO,3,2,25
2016,NORMAL,Sul,RS,4,2,25
2013,CESARIANO,Norte,RR,1,1,24
2013,CESARIANO,Sul,RS,4,2,24
2013,NORMAL,Sul,PR,1,1,24
2015,CESARIANO,Nordeste,MA,4,2,24
2015,CESARIANO,Norte,AC,1,2,24
2016,CESARIANO,Centro-Oeste,MT,4,2,24
2016,CESARIANO,Nordeste,MA,4,2,24
2016,CESARIANO,Norte,RR,2,1,24
2010,NORMAL,Nordeste,CE,3,2,23
2010,NORMAL,Norte,RO,3,2,23
2011,CESARIANO,Centro-Oeste,MT,1,2,23
2012,NORMAL,Norte,PA,4,2,23
2015,CESARIANO,Norte,AM,4,2,23
2017,NORMAL,Norte,AC,2,2,23
2011,CESARIANO,Norte,PA,4,2,22
2011,NORMAL,Nordeste,CE,3,2,22
2012,NORMAL,Centro-Oeste,MT,4,2,22
2014,CESARIANO,Centro-Oeste,MT,4,2,22
2015,CESARIANO,Norte,RR,1,0,22
2016,CESARIANO,Centro-Oeste,MS,2,2,22
2019,NORMAL,Norte,RR,2,2,22
2010,CESARIANO,Centro-Oeste,MT,1,2,21
2010,CESARIANO,Norte,RR,2,1,21
2011,NORMAL,Sul,RS,4,2,21
2013,CESARIANO,Nordeste,PE,3,1,21
2015,CESARIANO,Sul,PR,1,2,21
2016,CESARIANO,Nordeste,PE,3,1,21
2017,CESARIANO,Centro-Oeste,MT,4,2,21
2017,CESARIANO,Sul,PR,2,2,21
2012,CESARIANO,Centro-Oeste,MT,4,2,20
2012,CESARIANO,Norte,RR,2,1,20
2012,NORMAL,Norte,AM,4,2,20
2013,CESARIANO,Norte,AC,2,2,20
2013,NORMAL,Norte,AM,4,2,20
2014,NORMAL,Norte,AP,1,1,20
2015,CESARIANO,Sudeste,RJ,4,2,20
2017,CESARIANO,Centro-Oeste,MS,2,2,20
2017,NORMAL,Centro-Oeste,MT,4,2,20
2018,CESARIANO,Centro-Oeste,MS,2,2,20
2018,CESARIANO,Norte,AC,2,2,20
2018,CESARIANO,Sul,PR,2,2,20
2010,CESARIANO,Norte,RR,1,1,19
2010,NORMAL,Norte,AP,1,1,19
2011,NORMAL,Centro-Oeste,MT,4,2,19
2013,CESARIANO,Norte,AM,4,2,19
2013,NORMAL,Centro-Oeste,MT,4,2,19
2013,NORMAL,Norte,PA,4,2,19
2014,NORMAL,Centro-Oeste,MT,4,2,19
2015,NORMAL,Centro-Oeste,MT,4,2,19
2016,CESARIANO,Sul,PR,1,2,19
2017,CESARIANO,Sul,PR,1,2,19
2018,NORMAL,Norte,RR,2,2,19
2019,CESARIANO,Sul,SC,0,0,19
2019,NORMAL,Norte,AP,1,1,19
2010,CESARIANO,Norte,AP,1,2,18
2010,NORMAL,Norte,AC,2,2,18
2011,CESARIANO,Sul,RS,4,2,18
2011,NORMAL,Norte,PA,4,2,18
2014,CESARIANO,Sudeste,RJ,4,2,18
2014,NORMAL,Nordeste,RN,5,2,18
2014,NORMAL,Norte,PA,4,2,18
2015,NORMAL,Nordeste,RN,5,2,18
2016,NORMAL,Centro-Oeste,MS,2,2,18
2016,NORMAL,Centro-Oeste,MT,4,2,18
2016,NORMAL,Norte,AC,2,2,18
2018,NORMAL,Norte,AC,2,2,18
2019,NORMAL,Sul,PR,4,2,18
2010,CESARIANO,Nordeste,MA,4,2,17
2010,NORMAL,Nordeste,RN,5,2,17
2011,CESARIANO,Norte,RO,3,2,17
2014,CESARIANO,Centro-Oeste,MS,2,2,17
2014,CESARIANO,Norte,RR,1,1,17
2015,CESARIANO,Centro-Oeste,MT,4,2,17
2017,CESARIANO,Norte,AC,2,2,17
2018,NORMAL,Nordeste,RN,3,2,17
2018,NORMAL,Norte,AP,2,2,17
2010,CESARIANO,Norte,RO,3,2,16
2010,CESARIANO,Sul,RS,4,2,16
2010,NORMAL,Centro-Oeste,MT,4,2,16
2011,CESARIANO,Norte,AM,4,2,16
2013,CESARIANO,Nordeste,MA,4,2,16
2013,NORMAL,Norte,AP,1,1,16
2014,CESARIANO,Nordeste,MA,4,2,16
2014,CESARIANO,Norte,AM,4,2,16
2014,NORMAL,Nordeste,CE,3,2,16
2014,NORMAL,Nordeste,RN,3,2,16
2014,NORMAL,Norte,AC,2,2,16
2016,CESARIANO,Norte,RR,1,1,16
2017,NORMAL,Centro-Oeste,MS,2,2,16
2017,NORMAL,Norte,AP,1,1,16
2018,CESARIANO,Norte,RR,2,2,16
2019,NORMAL,Centro-Oeste,MS,2,2,16
2010,CESARIANO,Sul,PR,1,2,15
2011,NORMAL,Sul,PR,1,2,15
2014,CESARIANO,Norte,RR,2,1,15
2016,CESARIANO,Sul,RS,4,2,15
2016,NORMAL,Nordeste,RN,3,2,15
2017,NORMAL,Sul,PR,4,2,15
2018,CESARIANO,Nordeste,PE,3,1,15
2019,CESARIANO,Norte,RR,2,2,15
2010,CESARIANO,Norte,AM,4,2,14
2011,CESARIANO,Nordeste,MA,4,2,14
2011,NORMAL,Norte,AP,1,1,14
2012,CESARIANO,Norte,RR,1,1,14
2012,NORMAL,Nordeste,CE,3,2,14
2012,NORMAL,Norte,AC,2,2,14
2013,CESARIANO,Norte,AP,1,1,14
2016,CESARIANO,Norte,AC,2,2,14
2010,CESARIANO,Sudeste,RJ,4,2,13
2011,CESARIANO,Sudeste,RJ,4,2,13
2011,NORMAL,Norte,AP,2,2,13
2012,CESARIANO,Sudeste,RJ,4,2,13
2013,CESARIANO,Centro-Oeste,MT,4,2,13
2015,NORMAL,Sul,PR,1,2,13
2016,NORMAL,Centro-Oeste,GO,4,1,13
2016,NORMAL,Norte,AP,1,1,13
2017,NORMAL,Norte,AP,2,2,13
2018,NORMAL,Centro-Oeste,MS,2,2,13
2019,CESARIANO,Centro-Oeste,MS,2,2,13
2011,CESARIANO,Norte,RR,1,1,12
2013,CESARIANO,Centro-Oeste,MS,2,2,12
2015,CESARIANO,Centro-Oeste,MS,2,2,12
2015,NORMAL,Nordeste,RN,3,2,12
2015,NORMAL,Norte,RR,2,2,12
2017,NORMAL,Sul,PR,1,2,12
2018,CESARIANO,Sul,PR,4,2,12
2018,NORMAL,Sul,PR,4,2,12
2019,CESARIANO,Sul,SC,0,1,12
2010,CESARIANO,Centro-Oeste,MT,4,2,11
2011,CESARIANO,Norte,AC,2,2,11
2012,NORMAL,Nordeste,RN,5,2,11
2013,CESARIANO,Sul,PR,1,2,11
2011,NORMAL,Nordeste,RN,5,2,10
2013,NORMAL,Nordeste,CE,3,2,10
2013,NORMAL,Nordeste,RN,5,2,10
2015,CESARIANO,Nordeste,PE,3,1,10
2015,CESARIANO,Norte,AC,2,2,10
2017,CESARIANO,Norte,AM,4,2,10
2017,CESARIANO,Norte,AP,1,1,10
2018,NORMAL,Norte,AP,1,1,10
2019,CESARIANO,Norte,AP,1,1,10
2019,CESARIANO,Norte,AP,2,2,10
2010,CESARIANO,Norte,AP,1,1,9
2012,CESARIANO,Centro-Oeste,MS,2,2,9
2013,NORMAL,Norte,AC,2,2,9
2016,NORMAL,Sul,PR,1,2,9
2017,NORMAL,Nordeste,RN,3,2,9
2018,CESARIANO,Norte,AP,2,2,9
2019,NORMAL,Norte,RR,1,2,9
2012,CESARIANO,Norte,AM,4,2,8
2012,NORMAL,Norte,AP,2,2,8
2014,CESARIANO,Sul,PR,1,2,8
2017,CESARIANO,Nordeste,PE,3,1,8
2018,CESARIANO,Norte,AP,1,1,8
2019,CESARIANO,Sul,PR,4,2,8
2012,NORMAL,Sul,PR,1,2,7
2014,CESARIANO,Norte,AC,2,2,7
2014,NORMAL,Sul,PR,1,2,7
2015,CESARIANO,Norte,AP,1,1,7
2015,NORMAL,Norte,AP,2,2,7
2016,NORMAL,Norte,AP,2,2,7
2017,CESARIANO,Norte,RR,2,2,7
2019,CESARIANO,Norte,RR,1,2,7
2010,CESARIANO,Norte,AC,2,2,6
2011,CESARIANO,Sul,PR,4,2,6
2012,CESARIANO,Norte,AC,2,2,6
2013,CESARIANO,Sudeste,RJ,4,2,6
2014,CESARIANO,Norte,RR,2,2,6
2015,CESARIANO,Norte,AP,1,0,6
2016,CESARIANO,Norte,AP,1,1,6
2016,NORMAL,Sul,PR,4,2,6
2019,NORMAL,Nordeste,RN,3,2,6
2010,NORMAL,Norte,AP,2,2,5
2010,NORMAL,Sul,PR,4,2,5
2011,CESARIANO,Norte,AP,1,1,5
2012,CESARIANO,Norte,AP,1,1,5
2012,NORMAL,Centro-Oeste,MS,2,2,5
2014,NORMAL,Norte,AP,2,2,5
2014,NORMAL,Norte,RR,1,2,5
2015,NORMAL,Centro-Oeste,MS,2,2,5
2015,NORMAL,Sul,PR,4,2,5
2016,CESARIANO,Norte,AP,2,2,5
2016,NORMAL,Norte,RR,1,2,5
2017,CESARIANO,Sul,PR,4,2,5
2017,NORMAL,Norte,RR,1,2,5
2017,NORMAL,Norte,RR,2,2,5
2010,CESARIANO,Norte,RR,1,0,4
2010,CESARIANO,Sul,PR,4,2,4
2011,CESARIANO,Centro-Oeste,MS,2,2,4
2011,CESARIANO,Sul,PR,1,2,4
2012,CESARIANO,Sul,PR,4,2,4
2013,NORMAL,Norte,RR,1,2,4
2013,NORMAL,Norte,RR,2,2,4
2014,CESARIANO,Norte,AP,2,2,4
2014,NORMAL,Sul,PR,4,2,4
2015,CESARIANO,Norte,AP,2,2,4
2016,CESARIANO,Norte,RR,2,2,4
2016,CESARIANO,Sul,PR,4,2,4
2016,NORMAL,Norte,RR,2,2,4
2017,CESARIANO,Norte,AP,2,2,4
2018,NORMAL,Norte,RR,1,2,4
2010,NORMAL,Norte,RR,2,2,3
2011,CESARIANO,Centro-Oeste,MT,4,2,3
2011,CESARIANO,Norte,AP,2,2,3
2011,NORMAL,Centro-Oeste,MS,2,2,3
2011,NORMAL,Norte,RR,2,2,3
2011,NORMAL,Sul,PR,4,2,3
2012,NORMAL,Sul,PR,4,2,3
2013,CESARIANO,Norte,AP,2,2,3
2013,CESARIANO,Sul,PR,4,2,3
2013,NORMAL,Centro-Oeste,MS,2,2,3
2013,NORMAL,Norte,AP,2,2,3
2013,NORMAL,Sul,PR,1,2,3
2013,NORMAL,Sul,PR,4,2,3
2014,CESARIANO,Norte,AP,1,1,3
2014,NORMAL,Centro-Oeste,MS,2,2,3
2015,CESARIANO,Sul,PR,4,2,3
2016,CESARIANO,Norte,RR,1,2,3
2019,CESARIANO,Nordeste,PE,3,1,3
2010,CESARIANO,Norte,AP,2,2,2
2011,CESARIANO,Norte,RR,1,0,2
2011,CESARIANO,Norte,RR,2,2,2
2012,CESARIANO,Norte,RR,1,2,2
2012,CESARIANO,Sul,PR,1,2,2
2012,NORMAL,Norte,RR,1,2,2
2012,NORMAL,Norte,RR,2,2,2
2014,CESARIANO,Sul,PR,4,2,2
2014,NORMAL,Norte,RR,2,2,2
2015,CESARIANO,Norte,RR,2,2,2
2017,CESARIANO,Norte,RR,1,2,2
2018,CESARIANO,Norte,RR,1,2,2
2010,CESARIANO,Norte,RR,2,2,1
2010,NORMAL,Centro-Oeste,MS,2,2,1
2012,CESARIANO,Norte,AP,2,2,1
2012,CESARIANO,Norte,RR,1,0,1
2012,CESARIANO,Norte,RR,2,2,1
2013,CESARIANO,Norte,RR,2,2,1
2014,CESARIANO,Norte,RR,1,2,1
2015,CESARIANO,Norte,RR,1,2,1
2015,NORMAL,Norte,RR,1,2,1
