UF,Município,Cód IBGE,Cód Região de Saúde,Nome da Região de Saúde,Grupo
PI,Anísio de Abreu,220070,22006,Serra da Capivara,1
PI,Antônio Almeida,220080,22007,Tabuleiros do Alto Parnaíba,1
PI,Aroazes,220090,22010,Vale do Sambito,1
PI,Aroeiras do Itaim,220095,22009,Vale do Rio Guaribas,1
PI,Arraial,220100,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Assunção do Piauí,220105,22001,Carnaubais,1
PI,Avelino Lopes,220110,22002,Chapada das Mangabeiras,1
PI,Baixa Grande do Ribeiro,220115,22007,Tabuleiros do Alto Parnaíba,1
PI,Barra D'Alcântara,220117,22010,Vale do Sambito,1
PI,Barras,220120,22003,Cocais,1
PI,Barreiras do Piauí,220130,22002,Chapada das Mangabeiras,1
PI,Barro Duro,220140,22004,Entre Rios,3
PI,Batalha,220150,22003,Cocais,1
PI,Bela Vista do Piauí,220155,22008,Vale do Canindé,1
PI,Belém do Piauí,220157,22009,Vale do Rio Guaribas,1
PI,Beneditinos,220160,22004,Entre Rios,3
PI,Bertolínia,220170,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Betânia do Piauí,220173,22009,Vale do Rio Guaribas,1
PI,Boa Hora,220177,22001,Carnaubais,1
PI,Bocaina,220180,22009,Vale do Rio Guaribas,1
PI,Bom Jesus,220190,22002,Chapada das Mangabeiras,1
PI,Bom Princípio do Piauí,220191,22005,Planície Litorânea,1
PI,Bonfim do Piauí,220192,22006,Serra da Capivara,1
PI,Boqueirão do Piauí,220194,22001,Carnaubais,1
PI,Brasileira,220196,22003,Cocais,1
PI,Brejo do Piauí,220198,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Buriti dos Lopes,220200,22005,Planície Litorânea,1
PI,Buriti dos Montes,220202,22001,Carnaubais,1
PI,Cabeceiras do Piauí,220205,22001,Carnaubais,1
PI,Cajazeiras do Piauí,220207,22008,Vale do Canindé,1
PI,Cajueiro da Praia,220208,22005,Planície Litorânea,1
PI,Caldeirão Grande do Piauí,220209,22009,Vale do Rio Guaribas,1
PI,Campinas do Piauí,220210,22008,Vale do Canindé,1
PI,Campo Alegre do Fidalgo,220211,22006,Serra da Capivara,1
PI,Campo Grande do Piauí,220213,22009,Vale do Rio Guaribas,1
PI,Campo Largo do Piauí,220217,22003,Cocais,1
PI,Campo Maior,220220,22001,Carnaubais,1
PI,Canavieira,220225,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Canto do Buriti,220230,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Capitão de Campos,220240,22003,Cocais,1
PI,Capitão Gervásio Oliveira,220245,22006,Serra da Capivara,1
PI,Caracol,220250,22006,Serra da Capivara,1
PI,Caraúbas do Piauí,220253,22005,Planície Litorânea,1
PI,Caridade do Piauí,220255,22009,Vale do Rio Guaribas,1
PI,Castelo do Piauí,220260,22001,Carnaubais,1
PI,Caxingó,220265,22005,Planície Litorânea,1
PI,Cocal,220270,22005,Planície Litorânea,1
PI,Cocal de Telha,220271,22001,Carnaubais,1
PI,Cocal dos Alves,220272,22005,Planície Litorânea,1
PI,Coivaras,220273,22004,Entre Rios,3
PI,Colônia do Gurguéia,220275,22002,Chapada das Mangabeiras,1
PI,Colônia do Piauí,220277,22008,Vale do Canindé,1
PI,Conceição do Canindé,220280,22008,Vale do Canindé,1
PI,Coronel José Dias,220285,22006,Serra da Capivara,1
PI,Corrente,220290,22002,Chapada das Mangabeiras,1
PI,Cristalândia do Piauí,220300,22002,Chapada das Mangabeiras,1
PI,Cristino Castro,220310,22002,Chapada das Mangabeiras,1
PI,Curimatá,220320,22002,Chapada das Mangabeiras,1
PI,Currais,220323,22002,Chapada das Mangabeiras,1
PI,Curralinhos,220325,22004,Entre Rios,3
PI,Curral Novo do Piauí,220327,22009,Vale do Rio Guaribas,1
PI,Demerval Lobão,220330,22004,Entre Rios,3
PI,Dirceu Arcoverde,220335,22006,Serra da Capivara,1
PI,Dom Expedito Lopes,220340,22009,Vale do Rio Guaribas,1
PI,Domingos Mourão,220342,22003,Cocais,1
PI,Dom Inocêncio,220345,22006,Serra da Capivara,1
PI,Elesbão Veloso,220350,22010,Vale do Sambito,1
PI,Eliseu Martins,220360,22002,Chapada das Mangabeiras,1
PI,Esperantina,220370,22003,Cocais,1
PI,Fartura do Piauí,220375,22006,Serra da Capivara,1
PI,Flores do Piauí,220380,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Floresta do Piauí,220385,22008,Vale do Canindé,1
PI,Floriano,220390,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Francinópolis,220400,22010,Vale do Sambito,1
PI,Francisco Ayres,220410,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Francisco Macedo,220415,22009,Vale do Rio Guaribas,1
PI,Francisco Santos,220420,22009,Vale do Rio Guaribas,1
PI,Fronteiras,220430,22009,Vale do Rio Guaribas,1
PI,Geminiano,220435,22009,Vale do Rio Guaribas,1
PI,Gilbués,220440,22002,Chapada das Mangabeiras,1
PI,Guadalupe,220450,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Guaribas,220455,22006,Serra da Capivara,1
PI,Hugo Napoleão,220460,22004,Entre Rios,3
PI,Ilha Grande,220465,22005,Planície Litorânea,1
PI,Inhuma,220470,22010,Vale do Sambito,1
PI,Ipiranga do Piauí,220480,22009,Vale do Rio Guaribas,1
PI,Isaías Coelho,220490,22008,Vale do Canindé,1
PI,Itainópolis,220500,22009,Vale do Rio Guaribas,1
PI,Itaueira,220510,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Jacobina do Piauí,220515,22009,Vale do Rio Guaribas,1
PI,Jaicós,220520,22009,Vale do Rio Guaribas,1
PI,Jardim do Mulato,220525,22004,Entre Rios,3
PI,Jatobá do Piauí,220527,22001,Carnaubais,1
PI,Jerumenha,220530,22011,Vale dos Rios Piauí e Itaueiras,1
PI,João Costa,220535,22006,Serra da Capivara,1
PI,Joaquim Pires,220540,22003,Cocais,1
PI,Joca Marques,220545,22003,Cocais,1
PI,José de Freitas,220550,22004,Entre Rios,3
PI,Juazeiro do Piauí,220551,22001,Carnaubais,1
PI,Júlio Borges,220552,22002,Chapada das Mangabeiras,1
PI,Jurema,220553,22006,Serra da Capivara,1
PI,Lagoa Alegre,220555,22004,Entre Rios,3
PI,Lagoa de São Francisco,220557,22003,Cocais,1
PI,Lagoa do Barro do Piauí,220556,22006,Serra da Capivara,1
PI,Lagoa do Piauí,220558,22004,Entre Rios,3
PI,Lagoa do Sítio,220559,22010,Vale do Sambito,1
PI,Lagoinha do Piauí,220554,22004,Entre Rios,3
PI,Landri Sales,220560,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Luís Correia,220570,22005,Planície Litorânea,1
PI,Luzilândia,220580,22003,Cocais,1
PI,Madeiro,220585,22003,Cocais,1
PI,Manoel Emídio,220590,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Marcolândia,220595,22009,Vale do Rio Guaribas,1
PI,Marcos Parente,220600,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Massapê do Piauí,220605,22009,Vale do Rio Guaribas,1
PI,Matias Olímpio,220610,22003,Cocais,1
PI,Miguel Alves,220620,22004,Entre Rios,3
PI,Miguel Leão,220630,22004,Entre Rios,3
PI,Milton Brandão,220635,22003,Cocais,1
PI,Monsenhor Gil,220640,22004,Entre Rios,3
PI,Monsenhor Hipólito,220650,22009,Vale do Rio Guaribas,1
PI,Monte Alegre do Piauí,220660,22002,Chapada das Mangabeiras,1
PI,Morro Cabeça no Tempo,220665,22002,Chapada das Mangabeiras,1
PI,Morro do Chapéu do Piauí,220667,22003,Cocais,1
PI,Murici dos Portelas,220669,22005,Planície Litorânea,1
PI,Nazaré do Piauí,220670,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Nazária,220672,22004,Entre Rios,3
PI,Nossa Senhora de Nazaré,220675,22001,Carnaubais,1
PI,Nossa Senhora dos Remédios,220680,22003,Cocais,1
PI,Nova Santa Rita,220795,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Novo Oriente do Piauí,220690,22010,Vale do Sambito,1
PI,Novo Santo Antônio,220695,22001,Carnaubais,1
PI,Oeiras,220700,22008,Vale do Canindé,1
PI,Olho D'Água do Piauí,220710,22004,Entre Rios,3
PI,Padre Marcos,220720,22009,Vale do Rio Guaribas,1
PI,Paes Landim,220730,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Pajeú do Piauí,220735,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Palmeira do Piauí,220740,22002,Chapada das Mangabeiras,1
PI,Palmeirais,220750,22004,Entre Rios,3
PI,Paquetá,220755,22009,Vale do Rio Guaribas,1
PI,Parnaguá,220760,22002,Chapada das Mangabeiras,1
PI,Parnaíba,220770,22005,Planície Litorânea,1
PI,Passagem Franca do Piauí,220775,22004,Entre Rios,3
PI,Patos do Piauí,220777,22009,Vale do Rio Guaribas,1
PI,Pau D'Arco do Piauí,220779,22004,Entre Rios,3
PI,Paulistana,220780,22009,Vale do Rio Guaribas,1
PI,Pavussu,220785,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Pedro II,220790,22003,Cocais,1
PI,Pedro Laurentino,220793,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Picos,220800,22009,Vale do Rio Guaribas,1
PI,Pimenteiras,220810,22010,Vale do Sambito,1
PI,Pio IX,220820,22009,Vale do Rio Guaribas,1
PI,Piracuruca,220830,22003,Cocais,1
PI,Piripiri,220840,22003,Cocais,1
PI,Porto,220850,22003,Cocais,1
PI,Porto Alegre do Piauí,220855,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Prata do Piauí,220860,22010,Vale do Sambito,1
PI,Queimada Nova,220865,22009,Vale do Rio Guaribas,1
PI,Redenção do Gurguéia,220870,22002,Chapada das Mangabeiras,1
PI,Regeneração,220880,22004,Entre Rios,3
PI,Riacho Frio,220885,22002,Chapada das Mangabeiras,1
PI,Ribeira do Piauí,220887,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Ribeiro Gonçalves,220890,22007,Tabuleiros do Alto Parnaíba,1
PI,Rio Grande do Piauí,220900,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Santa Cruz do Piauí,220910,22009,Vale do Rio Guaribas,1
PI,Santa Cruz dos Milagres,220915,22010,Vale do Sambito,1
PI,Santa Filomena,220920,22002,Chapada das Mangabeiras,1
PI,Santa Luz,220930,22002,Chapada das Mangabeiras,1
PI,Santana do Piauí,220935,22009,Vale do Rio Guaribas,1
PI,Santa Rosa do Piauí,220937,22008,Vale do Canindé,1
PI,Santo Antônio de Lisboa,220940,22009,Vale do Rio Guaribas,1
PI,Santo Antônio dos Milagres,220945,22004,Entre Rios,3
PI,Santo Inácio do Piauí,220950,22008,Vale do Canindé,1
PI,São Braz do Piauí,220955,22006,Serra da Capivara,1
PI,São Félix do Piauí,220960,22010,Vale do Sambito,1
PI,São Francisco de Assis do Piauí,220965,22008,Vale do Canindé,1
PI,São Francisco do Piauí,220970,22011,Vale dos Rios Piauí e Itaueiras,1
PI,São Gonçalo do Gurguéia,220975,22002,Chapada das Mangabeiras,1
PI,São Gonçalo do Piauí,220980,22004,Entre Rios,3
PI,São João da Canabrava,220985,22009,Vale do Rio Guaribas,1
PI,São João da Fronteira,220987,22003,Cocais,1
PI,São João da Serra,220990,22001,Carnaubais,1
PI,São João da Varjota,220995,22008,Vale do Canindé,1
PI,São João do Arraial,220997,22003,Cocais,1
PI,São João do Piauí,221000,22006,Serra da Capivara,1
PI,São José do Divino,221005,22003,Cocais,1
PI,São José do Peixe,221010,22011,Vale dos Rios Piauí e Itaueiras,1
PI,São José do Piauí,221020,22009,Vale do Rio Guaribas,1
PI,São Julião,221030,22009,Vale do Rio Guaribas,1
PI,São Lourenço do Piauí,221035,22006,Serra da Capivara,1
PI,São Luis do Piauí,221037,22009,Vale do Rio Guaribas,1
PI,São Miguel da Baixa Grande,221038,22010,Vale do Sambito,1
PI,São Miguel do Fidalgo,221039,22011,Vale dos Rios Piauí e Itaueiras,1
PI,São Miguel do Tapuio,221040,22001,Carnaubais,1
PI,São Pedro do Piauí,221050,22004,Entre Rios,3
PI,São Raimundo Nonato,221060,22006,Serra da Capivara,1
PI,Sebastião Barros,221062,22002,Chapada das Mangabeiras,1
PI,Sebastião Leal,221063,22007,Tabuleiros do Alto Parnaíba,1
PI,Sigefredo Pacheco,221065,22001,Carnaubais,1
PI,Simões,221070,22009,Vale do Rio Guaribas,1
PI,Simplício Mendes,221080,22008,Vale do Canindé,1
PI,Socorro do Piauí,221090,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Sussuapara,221093,22009,Vale do Rio Guaribas,1
PI,Tamboril do Piauí,221095,22011,Vale dos Rios Piauí e Itaueiras,1
PI,Tanque do Piauí,221097,22008,Vale do Canindé,1
PI,Teresina,221100,22004,Entre Rios,3
PI,União,221110,22004,Entre Rios,3
PI,Uruçuí,221120,22007,Tabuleiros do Alto Parnaíba,1
PI,Valença do Piauí,221130,22010,Vale do Sambito,1
PI,Várzea Branca,221135,22006,Serra da Capivara,1
PI,Várzea Grande,221140,22010,Vale do Sambito,1
PI,Vera Mendes,221150,22009,Vale do Rio Guaribas,1
PI,Vila Nova do Piauí,221160,22009,Vale do Rio Guaribas,1
