database,variavel,type,label,records
sih,CNES,group,2079429,684
sih,CNES,group,2079437,921
sih,CNES,group,2079461,1323
sih,CNES,group,2079518,2028
sih,CNES,group,2079550,130
sih,CNES,group,2079569,3816
sih,CNES,group,2079593,12610
sih,CNES,group,2079615,6296
sih,CNES,group,2079690,28
sih,CNES,group,2079704,2187
sih,CNES,group,2079720,3326
sih,CNES,group,2079798,20522
sih,CNES,group,2079828,28834
sih,CNES,group,2079836,2677
sih,CNES,group,2079852,719
sih,CNES,group,2079860,24736
sih,CNES,group,2079879,1888
sih,CNES,group,2079895,5598
sih,CNES,group,2079909,475
sih,CNES,group,2079917,3094
sih,CNES,group,2079925,5180
sih,CNES,group,2079968,3
sih,CNES,group,2079976,2831
sih,CNES,group,2080028,14036
sih,CNES,group,2080044,3208
sih,CNES,group,2080052,36942
sih,CNES,group,2080079,18819
sih,CNES,group,2080087,4206
sih,CNES,group,2080095,2334
sih,CNES,group,2080109,68
sih,CNES,group,2080141,126
sih,CNES,group,2080222,368
sih,CNES,group,2080265,198
sih,CNES,group,2080338,23014
sih,CNES,group,2080346,132
sih,CNES,group,2080362,216
sih,CNES,group,2080370,426
sih,CNES,group,2080443,2720
sih,CNES,group,2080451,870
sih,CNES,group,2080478,1493
sih,CNES,group,2080508,1340
sih,CNES,group,2080524,136
sih,CNES,group,2080567,959
sih,CNES,group,2080575,12096
sih,CNES,group,2080583,22089
sih,CNES,group,2080605,1
sih,CNES,group,2080621,418
sih,CNES,group,2080664,2950
sih,CNES,group,2080672,5006
sih,CNES,group,2080680,2
sih,CNES,group,2080729,4885
sih,CNES,group,2080737,82
sih,CNES,group,2080745,2385
sih,CNES,group,2080788,2
sih,CNES,group,2080826,2
sih,CNES,group,2080842,1271
sih,CNES,group,2080869,137
sih,CNES,group,2080907,64
sih,CNES,group,2080915,7
sih,CNES,group,2080923,5874
sih,CNES,group,2080931,13934
sih,CNES,group,2080958,1991
sih,CNES,group,2080966,587
sih,CNES,group,2080982,6
sih,CNES,group,2081059,6837
sih,CNES,group,2081083,8463
sih,CNES,group,2081091,4534
sih,CNES,group,2081105,1688
sih,CNES,group,2081202,5110
sih,CNES,group,2081229,5
sih,CNES,group,2081237,134
sih,CNES,group,2081245,564
sih,CNES,group,2081253,6659
sih,CNES,group,2081261,5771
sih,CNES,group,2081296,611
sih,CNES,group,2081326,416
sih,CNES,group,2081342,129
sih,CNES,group,2081350,3900
sih,CNES,group,2081377,9236
sih,CNES,group,2081385,1208
sih,CNES,group,2081393,2041
sih,CNES,group,2081431,821
sih,CNES,group,2081458,11900
sih,CNES,group,2081512,4032
sih,CNES,group,2081555,3802
sih,CNES,group,2081571,24
sih,CNES,group,2081598,678
sih,CNES,group,2081644,4428
sih,CNES,group,2081652,92
sih,CNES,group,2081660,737
sih,CNES,group,2081695,2515
sih,CNES,group,2081717,1719
sih,CNES,group,2081768,1760
sih,CNES,group,2081784,1999
sih,CNES,group,2081806,29
sih,CNES,group,2081814,1975
sih,CNES,group,2081873,3797
sih,CNES,group,2081903,3277
sih,CNES,group,2081970,6221
sih,CNES,group,2081989,600
sih,CNES,group,2082071,258
sih,CNES,group,2082098,4479
sih,CNES,group,2082128,20940
sih,CNES,group,2082179,33
sih,CNES,group,2082187,1639
sih,CNES,group,2082209,42009
sih,CNES,group,2082225,22494
sih,CNES,group,2082284,262
sih,CNES,group,2082306,1356
sih,CNES,group,2082322,3744
sih,CNES,group,2082349,11915
sih,CNES,group,2082381,6921
sih,CNES,group,2082438,1174
sih,CNES,group,2082497,250
sih,CNES,group,2082519,3622
sih,CNES,group,2082527,3333
sih,CNES,group,2082551,5
sih,CNES,group,2082578,3
sih,CNES,group,2082586,2213
sih,CNES,group,2082594,7987
sih,CNES,group,2082632,2531
sih,CNES,group,2082640,4101
sih,CNES,group,2082659,512
sih,CNES,group,2082667,189
sih,CNES,group,2082691,5000
sih,CNES,group,2082721,11860
sih,CNES,group,2082748,2904
sih,CNES,group,2082756,738
sih,CNES,group,2082780,104
sih,CNES,group,2082810,1067
sih,CNES,group,2082829,23706
sih,CNES,group,2082845,4617
sih,CNES,group,2082853,5744
sih,CNES,group,2082888,8794
sih,CNES,group,2082926,13320
sih,CNES,group,2082934,1419
sih,CNES,group,2082942,928
sih,CNES,group,2083019,4946
sih,CNES,group,2083027,1618
sih,CNES,group,2083051,4318
sih,CNES,group,2083094,13
sih,CNES,group,2083140,4850
sih,CNES,group,2083175,4579
sih,CNES,group,2083213,353
sih,CNES,group,2083264,1424
sih,CNES,group,2083272,8063
sih,CNES,group,2083493,2734
sih,CNES,group,2083604,12118
