res_cod_municipio,int_cod_municipio,records
316250,316250,5747
293360,293360,5721
412810,412810,5721
430350,430350,5706
211250,211250,5693
310400,310400,5685
150293,150293,5674
316940,316940,5659
430463,430463,5628
314480,314480,5591
351510,352220,5578
430470,430470,5576
355620,355620,5542
351020,351020,5518
231330,231330,5493
260010,260010,5481
292150,292150,5478
410370,410370,5457
430060,431490,5456
350970,350970,5433
354910,354910,5429
350650,350650,5416
330170,330455,5415
230428,230428,5414
410400,410400,5414
317070,317070,5394
310350,310350,5355
411070,411070,5353
353050,353050,5352
150620,150620,5343
290980,290980,5321
330020,330020,5321
230030,230030,5301
130060,130060,5288
411760,411760,5268
421480,421480,5268
221060,221060,5248
431800,431800,5244
171610,171610,5229
353930,353930,5220
220370,220370,5200
420140,420140,5200
421660,420540,5194
330550,330550,5176
355650,352590,5171
310560,310560,5165
260290,260790,5162
230870,230870,5130
430610,430610,5125
351110,351110,5110
353730,353730,5090
210830,210830,5088
290520,290520,5078
432260,432260,5074
315250,315250,5070
500540,500540,5043
210910,210910,5042
230970,230765,5040
150506,150506,5033
292100,292100,5033
230630,230630,5027
150670,150670,5019
420750,420750,5009
220220,220220,4994
316870,316870,4987
320520,320530,4983
292200,292200,4974
261100,261100,4963
150618,150618,4959
231230,231230,4957
211070,211070,4955
150215,150215,4945
353980,351570,4944
210467,210467,4940
312160,312160,4930
510622,510622,4925
350590,350590,4924
510525,510525,4913
350610,350610,4907
291980,291980,4902
354730,352250,4902
310170,310170,4890
355710,355710,4879
500060,500060,4873
431405,431405,4863
211230,211230,4858
310730,310730,4853
420430,420430,4831
130270,130270,4824
291390,291390,4823
150808,150808,4820
150050,150050,4792
314930,314930,4779
355500,355500,4779
150020,150020,4757
311230,311230,4755
130140,130140,4748
230250,230250,4742
421930,421930,4728
241120,241120,4715
240020,240020,4699
292170,292170,4683
412240,412240,4676
150543,150543,4675
150830,150830,4674
352850,352850,4668
261370,261370,4650
314610,314610,4617
330270,330270,4610
350700,350700,4605
231400,231400,4601
211240,211240,4591
520860,520860,4584
316470,316470,4583
353760,352210,4580
353180,353180,4579
130030,130030,4578
330414,330414,4570
522140,522140,4565
412060,412060,4551
312710,312710,4550
510025,510025,4545
110011,110011,4543
120010,120010,4543
353780,353780,4538
250180,250180,4534
270290,270030,4532
314310,314310,4506
150490,150490,4500
291400,291400,4500
150090,150170,4496
260040,261000,4488
352710,352710,4480
500620,500620,4479
351570,355030,4472
510335,510335,4472
211020,211020,4471
421950,421950,4462
130070,130070,4454
354680,354680,4452
150760,150760,4448
352260,352260,4441
150270,150270,4438
230760,230760,4438
150070,150070,4427
292880,291080,4418
350920,350920,4414
150280,150280,4412
261450,261450,4410
220190,220190,4408
320510,320130,4400
210370,210370,4399
313840,313840,4399
411320,411320,4396
210405,210405,4394
211050,211050,4393
150140,150080,4381
352430,352430,4381
350190,350190,4369
261110,291840,4357
150310,150310,4350
211260,211260,4350
431240,431240,4347
522140,520870,4342
130080,130080,4306
260170,260170,4298
430390,430390,4290
521760,530010,4273
270240,270240,4268
150820,150820,4263
354060,354060,4263
420700,420700,4260
313630,313630,4257
312610,312610,4248
315210,315210,4246
230810,230810,4243
210980,210980,4240
352470,352470,4238
330555,330555,4235
210210,210210,4233
150460,150460,4232
