CNES,records
2582449,11179
2164620,11172
2738309,11152
2081253,11130
2018144,11116
2078473,11090
2018365,11081
2799758,11079
2306697,11068
2292165,11065
2707969,11022
2084473,11012
2223597,11001
2333031,10962
2098369,10944
2078775,10931
2665778,10926
4044916,10922
2532387,10888
3037495,10870
2479907,10864
2823209,10832
2297183,10818
2708353,10784
2802082,10781
2756749,10763
2058502,10755
2000121,10748
2261057,10731
2428385,10715
2676923,10692
7580770,10691
2738899,10679
2752077,10649
2078848,10609
2465469,10604
2560771,10570
3381412,10569
5158044,10567
2519356,10557
2743590,10552
2354551,10548
5366828,10538
2496046,10535
2707918,10533
2764814,10509
2556847,10508
2760924,10435
2111624,10423
6106056,10420
2284634,10411
2712032,10401
4014235,10388
2683210,10380
2494299,10378
2785188,10372
2143801,10370
2171945,10353
2164825,10326
2755130,10320
2726645,10313
5101654,10286
2612348,10282
2248328,10266
2248220,10251
2520613,10240
2082179,10207
2151812,10186
2328046,10174
2079895,10173
2706741,10155
2084228,10119
0025186,10027
2456613,10026
2328380,10008
5253381,10001
3272591,9996
2515768,9950
2088193,9944
2519151,9930
2227886,9928
2659417,9916
3006204,9914
2301687,9899
5307562,9874
2252694,9826
2082691,9813
2078074,9805
3058336,9805
2454696,9772
2535556,9756
5349893,9743
2420015,9732
2730650,9732
7360347,9727
2100754,9719
2080923,9707
6938876,9703
2118661,9676
2450429,9659
2402092,9635
5390044,9624
2333228,9623
2825309,9619
2232030,9618
2702193,9596
2587335,9578
2576198,9534
2257815,9530
2078147,9515
3045625,9512
8001448,9494
3580822,9491
2514710,9489
2442116,9465
2080133,9414
2257556,9410
2200902,9383
2227762,9383
2459477,9361
3210243,9338
0027030,9324
2592460,9317
2679736,9310
2645122,9306
3521133,9299
2777762,9298
0000094,9252
2070413,9246
2705222,9245
2505231,9230
2316757,9222
3013014,9221
2080516,9217
0000529,9214
7975023,9207
2273748,9185
2098911,9175
2078503,9168
2390043,9146
2792478,9139
2108992,9137
2491249,9137
2332299,9128
2400693,9110
2622459,9083
2017016,9068
7088302,9034
5289025,9032
3537943,9004
2697688,9002
2518406,8999
2127687,8986
2432048,8986
6569234,8977
2249472,8972
6542638,8955
2711990,8951
2192020,8944
2081644,8932
2386569,8923
5005027,8921
2221772,8920
2738287,8915
4028414,8913
2521873,8892
2117037,8889
2308649,8876
3013588,8819
2010356,8778
2655411,8756
3005879,8751
2097877,8737
2082845,8725
2758245,8705
2083035,8680
2603055,8680
2698463,8650
3315916,8650
2777789,8628
2558246,8627
2409275,8621
2140098,8608
2262274,8596
2273098,8588
0004081,8581
2097117,8579
7013620,8565
2200945,8562
2082594,8559
2139200,8557
2307154,8553
2236370,8519
2537397,8519
4026772,8517
2248298,8490
2395886,8482
0027979,8463
6848710,8454
6968139,8393
3517918,8392
6095666,8375
2696029,8358
6451098,8355
2561425,8342
6892256,8307
2465787,8302
2292912,8298
6137040,8290
6878865,8289
2292513,8285
2582716,8266
0011746,8249
2079798,8245
2338351,8235
2077566,8208
2784882,8202
3366219,8185
3597156,8182
3019063,8177
2674327,8176
4055748,8165
2707950,8131
2430622,8127
2083272,8120
2018055,8118
2504545,8117
2252260,8105
2442108,8101
2083140,8095
2083191,8080
3649563,8073
2142376,8060
2336812,8052
2799855,8049
2429438,8040
2785382,8032
2077582,8026
2789647,8022
3774554,8015
2000865,8008
6644996,8005
2729385,7991
2638878,7985
2144530,7981
2001500,7971
2171988,7947
0010545,7928
2080575,7911
2612518,7905
2079097,7883
2463784,7877
2621614,7874
2452952,7872
2077485,7869
2705842,7869
3019527,7866
2348489,7864
2627183,7823
2589516,7821
2459620,7818
2319233,7812
2611309,7793
2134276,7786
2445956,7784
7666772,7773
3603474,7771
2082764,7761
2401231,7753
2082381,7725
2204649,7711
2093324,7708
2246929,7702
2586444,7701
2653494,7697
2602121,7681
2196972,7675
2598205,7659
2025477,7655
2371375,7646
2232073,7614
3074889,7606
2349264,7602
6782477,7601
2471345,7592
2248204,7586
2081555,7569
2078872,7567
2519291,7559
2726599,7551
0017574,7535
2710498,7534
2024632,7491
5106702,7489
2275635,7485
4020197,7477
2345889,7472
3940829,7472
2295415,7471
2340747,7468
3302490,7464
2018098,7462
2341204,7452
2458055,7401
2084058,7394
2677563,7390
5237750,7389
2244357,7367
7557523,7365
2622467,7362
2589605,7360
6913652,7338
2016974,7326
2302500,7319
2793636,7309
2127881,7298
2757710,7293
2587165,7281
8004218,7276
2697289,7268
2777770,7238
2119471,7237
2006472,7228
2079615,7216
2427249,7216
2365154,7207
2537028,7199
2592568,7197
2080672,7181
3089142,7167
2082853,7110
2554798,7107
2081059,7106
2081601,7098
2520168,7093
2796449,7091
2548127,7076
4028759,7073
2798220,7060
2016397,7059
2407868,7059
6817203,7059
2448637,7044
2240335,7032
2375265,7028
2178672,7022
2531348,7016
2081261,7014
2437651,6998
2561433,6998
2135124,6990
7336578,6977
2154749,6965
2287927,6952
2081512,6937
2080087,6935
2437139,6929
2484943,6925
2398680,6919
2277573,6902
3231623,6901
2012618,6897
2410486,6893
2615711,6880
2013045,6860
3530159,6808
2078228,6805
2745798,6800
2122650,6793
2014688,6784
2101777,6780
2263858,6772
2266733,6772
2241153,6771
2259893,6765
0013838,6760
2269988,6714
2462214,6709
2537192,6708
2601680,6708
6922902,6693
2163829,6692
5907594,6681
6424341,6662
2098539,6657
2213982,6655
3667804,6653
2532093,6638
6998704,6631
