CNES,records
2509377,4476
2313049,4465
2402882,4461
2012499,4453
2081644,4428
2025477,4418
2090961,4418
2602083,4413
2677407,4408
2205971,4404
4029526,4404
5384117,4401
2796449,4394
2549751,4388
6644996,4373
2333899,4371
2801906,4367
2313057,4349
2077582,4347
2283239,4345
2776006,4337
2273748,4323
2616211,4323
2083051,4318
0010529,4316
2011689,4312
2100681,4312
2012383,4309
2391635,4304
2172259,4296
2097605,4295
2304325,4289
2529386,4289
2246961,4281
2491710,4270
2472457,4264
2560828,4259
2752654,4251
2582716,4248
2316021,4236
4005732,4232
2479028,4225
2521695,4224
2370344,4219
2451565,4219
2510391,4216
2315386,4207
2775972,4207
2080087,4205
2517124,4194
2476444,4186
2319233,4184
2447029,4175
2392410,4169
2164299,4163
2330938,4163
2742098,4152
2232928,4141
2026805,4136
2799804,4136
2164825,4134
2287927,4122
2465655,4119
2218690,4112
2127881,4107
2082640,4101
2346621,4093
7459831,4090
2723255,4076
2331578,4070
0010499,4061
2248204,4057
2134268,4051
2497654,4048
2379767,4044
2287382,4043
2318180,4039
2208075,4038
2252260,4038
7666772,4038
2757710,4037
2081512,4032
2017555,4026
2665883,4025
2711850,4022
2396106,4019
2227932,4018
2711400,4018
2616491,4011
2144298,4001
2601583,3988
2715317,3984
2407574,3972
2711885,3967
2639173,3953
2235609,3952
2383896,3948
2259893,3922
2764865,3920
2382792,3914
2323680,3906
2388928,3906
2711893,3901
2081350,3900
2313367,3895
2702991,3888
4026640,3881
3269728,3871
2644711,3864
2711613,3862
2078295,3858
2693690,3849
2208040,3839
3569543,3830
2248271,3825
2079569,3816
2081555,3802
2333430,3800
2081873,3797
2790556,3795
2329913,3780
2025523,3770
7105088,3769
2240335,3767
2397676,3753
6578373,3752
2082322,3744
2135108,3739
2168731,3728
2328992,3728
2151820,3726
2562391,3726
2178591,3724
2103990,3722
2530031,3713
2011875,3700
2445352,3699
2012022,3692
2543044,3687
2602962,3681
2747871,3679
2707632,3677
2331756,3659
2589605,3642
2659603,3630
2316552,3629
2082519,3622
2087103,3617
2777681,3606
2463954,3599
2616483,3598
2742039,3598
5498465,3587
2206498,3570
6856209,3556
2213982,3554
2601613,3553
2462192,3546
2122677,3543
7202253,3542
2655802,3530
4032497,3526
2077647,3522
2765667,3509
2423936,3507
2626659,3505
2351668,3501
2660091,3500
2791749,3497
2387042,3493
2598213,3493
2611864,3493
2376091,3487
2409658,3482
2451573,3481
2442477,3480
2802015,3479
2336812,3475
2364999,3474
2006197,3464
2105365,3453
2261065,3449
2078538,3446
2622475,3436
2613379,3433
2365480,3412
2469774,3411
2680807,3410
2775956,3405
2601702,3403
2375850,3400
2119404,3397
2750546,3397
2499568,3395
4068823,3393
2506254,3388
2103257,3387
2397463,3382
2392046,3380
2376458,3379
2087324,3366
8004218,3365
2569213,3360
2383209,3354
2333880,3350
2262002,3342
2703041,3341
2751038,3341
2082527,3333
2233312,3329
2484366,3329
2079720,3325
2733307,3313
4024303,3312
2364913,3310
2562170,3305
2235323,3303
2427125,3301
2751704,3301
2750988,3296
2801574,3295
2468271,3288
2081903,3277
2392704,3272
2185563,3264
2410478,3264
2536862,3242
2117312,3225
2374226,3221
4022718,3218
6146376,3209
2080044,3206
2550032,3205
2774720,3197
3819590,3193
2248239,3190
2510278,3172
2499053,3167
2119463,3164
2773333,3153
2092395,3135
2742012,3135
3220966,3126
2796112,3124
4023668,3124
2250837,3123
0015245,3109
2018128,3109
2202891,3096
2455145,3096
2745798,3096
2135930,3095
2079917,3094
2127911,3091
9153535,3089
2312131,3085
2413469,3081
2577410,3075
2254956,3073
2206595,3072
2458470,3070
2699915,3069
2775913,3068
2716275,3067
2639025,3055
2792974,3055
3003469,3053
2019523,3051
2796562,3051
2559609,3039
2484269,3031
2450453,3027
2474751,3027
2802252,3024
2534789,3022
2241153,3012
2316064,3007
2760843,3005
2597594,3003
2328496,3002
4030230,2999
2414244,2995
2016125,2991
5232511,2986
2558289,2982
2733579,2980
2534967,2972
2760436,2970
2549182,2967
2554518,2967
0018813,2961
2017717,2961
2080664,2950
2376474,2947
2622319,2944
2691523,2943
